Ciclo,Melhoria,Otimizado
534,507,390097
535,996,389101
536,45,389056
537,420,388636
538,160,388476
539,675,387801
540,66,387735
541,284,387451
542,105,387346
543,143,387203
544,142,387061
545,168,386893
546,47,386846
547,77,386769
548,2,386767
549,39,386728
550,39,386689
551,326,386363
552,101,386262
553,636,385626
554,173,385453
555,192,385261
556,30,385231
557,381,384850
558,35,384815
559,265,384550
560,296,384254
561,92,384162
562,110,384052
563,319,383733
564,241,383492
565,223,383269
566,273,382996
567,157,382839
568,37,382802
569,166,382636
570,5,382631
571,107,382524
572,65,382459
573,171,382288
574,29,382259
575,42,382217
576,227,381990
577,12,381978
578,47,381931
579,461,381470
580,78,381392
581,47,381345
582,30,381315
583,3,381312
584,79,381233
585,264,380969
586,156,380813
587,102,380711
588,102,380609
589,309,380300
590,364,379936
591,102,379834
592,1715,378119
593,734,377385
594,8,377377
595,342,377035
596,682,376353
597,90,376263
598,147,376116
599,71,376045
600,330,375715
601,715,375000
602,372,374628
603,357,374271
604,898,373373
605,338,373035
606,427,372608
607,508,372100
608,290,371810
609,84,371726
610,23,371703
611,208,371495
612,54,371441
613,16,371425
614,206,371219
615,105,371114
616,139,370975
617,365,370610
618,21,370589
619,250,370339
620,152,370187
621,4,370183
622,378,369805
623,289,369516
624,69,369447
625,339,369108
626,197,368911
627,88,368823
628,171,368652
629,102,368550
630,302,368248
631,247,368001
632,262,367739
633,26,367713
634,74,367639
635,144,367495
636,178,367317
637,329,366988
638,80,366908
639,471,366437
640,29,366408
641,51,366357
642,28,366329
643,40,366289
644,121,366168
645,130,366038
646,67,365971
647,44,365927
648,18,365909
649,233,365676
650,18,365658
651,357,365301
652,187,365114
653,445,364669
654,99,364570
655,228,364342
656,190,364152
657,84,364068
658,219,363849
659,63,363786
660,291,363495
661,32,363463
662,36,363427
663,113,363314
664,308,363006
665,31,362975
666,74,362901
667,96,362805
668,376,362429
669,35,362394
670,809,361585
671,232,361353
672,132,361221
673,373,360848
674,410,360438
675,167,360271
676,185,360086
677,152,359934
678,323,359611
679,477,359134
680,52,359082
681,285,358797
682,232,358565
683,5,358560
684,158,358402
685,69,358333
686,54,358279
687,38,358241
688,425,357816
689,115,357701
690,177,357524
691,73,357451
692,443,357008
693,108,356900
694,283,356617
695,149,356468
696,86,356382
697,15,356367
698,106,356261
699,150,356111
700,75,356036
701,75,355961
702,8,355953
703,433,355520
704,417,355103
705,438,354665
706,92,354573
707,53,354520
708,264,354256
709,87,354169
710,266,353903
711,206,353697
712,203,353494
713,79,353415
714,192,353223
715,388,352835
716,67,352768
717,206,352562
718,86,352476
719,368,352108
720,100,352008
721,122,351886
722,44,351842
723,29,351813
724,355,351458
725,314,351144
726,56,351088
727,59,351029
728,737,350292
729,124,350168
730,30,350138
731,16,350122
732,804,349318
733,78,349240
734,265,348975
735,16,348959
736,296,348663
737,31,348632
738,140,348492
739,229,348263
740,915,347348
741,274,347074
742,101,346973
743,1132,345841
744,181,345660
745,18,345642
746,482,345160
747,61,345099
748,217,344882
749,378,344504
750,1356,343148
751,100,343048
752,634,342414
753,613,341801
754,235,341566
755,76,341490
756,286,341204
757,279,340925
758,136,340789
759,37,340752
760,370,340382
761,1340,339042
762,111,338931
763,307,338624
764,43,338581
765,304,338277
766,227,338050
767,414,337636
768,118,337518
769,360,337158
770,579,336579
771,62,336517
772,94,336423
773,36,336387
774,39,336348
775,183,336165
776,181,335984
777,176,335808
778,236,335572
779,367,335205
780,480,334725
781,59,334666
782,145,334521
783,124,334397
784,78,334319
785,167,334152
786,74,334078
787,326,333752
788,19,333733
789,17,333716
790,119,333597
791,607,332990
792,58,332932
793,151,332781
794,116,332665
795,120,332545
796,496,332049
797,175,331874
798,335,331539
799,15,331524
800,89,331435
801,116,331319
802,93,331226
803,227,330999
804,150,330849
805,25,330824
806,170,330654
807,200,330454
808,78,330376
809,216,330160
810,64,330096
811,40,330056
812,20,330036
813,55,329981
814,224,329757
815,103,329654
816,140,329514
817,100,329414
818,216,329198
819,44,329154
820,28,329126
821,33,329093
822,148,328945
823,174,328771
824,58,328713
825,338,328375
826,5,328370
827,22,328348
828,120,328228
829,176,328052
830,192,327860
831,87,327773
832,642,327131
833,494,326637
834,215,326422
835,336,326086
836,39,326047
837,214,325833
838,180,325653
839,252,325401
840,229,325172
841,592,324580
842,198,324382
843,172,324210
844,285,323925
845,87,323838
846,144,323694
847,25,323669
848,82,323587
849,315,323272
850,850,322422
851,220,322202
852,82,322120
853,126,321994
854,179,321815
855,87,321728
856,122,321606
857,146,321460
858,670,320790
859,333,320457
860,538,319919
861,182,319737
862,77,319660
863,205,319455
864,1001,318454
865,48,318406
866,178,318228
867,35,318193
868,22,318171
869,65,318106
870,3,318103
871,654,317449
872,146,317303
873,836,316467
874,517,315950
875,176,315774
876,213,315561
877,237,315324
878,78,315246
879,31,315215
880,88,315127
881,74,315053
882,16,315037
883,333,314704
884,130,314574
885,55,314519
886,39,314480
887,83,314397
888,185,314212
889,64,314148
890,122,314026
891,268,313758
892,135,313623
893,51,313572
894,530,313042
895,352,312690
896,1785,310905
897,102,310803
898,92,310711
899,100,310611
900,159,310452
901,76,310376
902,6,310370
903,44,310326
904,168,310158
905,444,309714
906,30,309684
907,189,309495
908,40,309455
909,13,309442
910,31,309411
911,35,309376
912,78,309298
913,33,309265
914,13,309252
915,105,309147
916,51,309096
917,23,309073
918,146,308927
919,72,308855
920,257,308598
921,79,308519
922,61,308458
923,164,308294
924,239,308055
925,55,308000
926,42,307958
927,155,307803
928,2,307801
929,360,307441
930,52,307389
931,1117,306272
932,65,306207
933,298,305909
934,194,305715
935,162,305553
936,466,305087
937,790,304297
938,127,304170
939,8,304162
940,223,303939
941,12,303927
942,170,303757
943,42,303715
944,55,303660
945,302,303358
946,67,303291
947,111,303180
948,218,302962
949,50,302912
950,292,302620
951,45,302575
952,99,302476
953,1970,300506
954,4,300502
955,148,300354
956,14,300340
957,5,300335
958,52,300283
959,639,299644
960,78,299566
961,475,299091
962,265,298826
963,35,298791
964,169,298622
965,78,298544
966,52,298492
967,184,298308
968,52,298256
969,212,298044
970,28,298016
971,91,297925
972,39,297886
973,219,297667
974,92,297575
975,12,297563
976,12,297551
977,42,297509
978,16,297493
979,63,297430
980,28,297402
981,91,297311
982,81,297230
983,99,297131
984,39,297092
985,79,297013
986,13,297000
987,481,296519
988,280,296239
989,63,296176
990,8,296168
991,422,295746
992,161,295585
993,241,295344
994,8,295336
995,46,295290
996,61,295229
997,65,295164
998,37,295127
999,185,294942
1000,260,294682
1001,277,294405
1002,18,294387
1003,92,294295
1004,72,294223
1005,48,294175
1006,85,294090
1007,82,294008
1008,44,293964
1009,3,293961
1010,48,293913
1011,57,293856
1012,40,293816
1013,13,293803
1014,13,293790
1015,74,293716
1016,59,293657
1017,270,293387
1018,197,293190
1019,1,293189
1020,158,293031
1021,12,293019
1022,10,293009
1023,78,292931
1024,5,292926
1025,125,292801
1026,16,292785
1027,55,292730
1028,140,292590
1029,159,292431
1030,44,292387
1031,206,292181
